type,description,risk_score,created_at,category
Username,localhost:5002,35,2025-04-01 16:08:21.140448,Threat
Human Name,Access Control Management,20,2025-04-01 16:08:49.941723,Threat
Human Name,PostgreSQL Database,51,2025-04-01 16:10:37.374505,Threat
Human Name,System Administrators,49,2025-04-02 16:09:33.489210,Threat
Human Name,Primary Application Server,20,2025-04-04 17:56:59.205808,Threat
Human Name,Audit Logs,50,2025-04-05 03:07:45.944007,Threat
Other,port:27017 mongodb,24,2025-03-24 23:36:13.379968,Incident
IP,Hardcoded threat description 1,23,2025-03-24 23:36:33.441047,Incident
Other,port:3306 mysql,24,2025-03-24 23:39:58.500775,Incident
IP,Hardcoded threat description 3,23,2025-03-24 23:40:18.496296,Incident
Other,port:27017 mongodb,24,2025-03-24 23:42:30.822402,Incident
Other,port:27017 mongodb,24,2025-03-24 23:42:30.849330,Incident
Other,Hardcoded threat description 1,23,2025-03-24 23:42:30.867325,Incident
Other,Hardcoded threat description 1,23,2025-03-24 23:42:30.880533,Incident
Other,port:3306 mysql,24,2025-03-24 23:42:30.901129,Incident
Other,port:3306 mysql,24,2025-03-24 23:42:30.945437,Incident
Other,port:27017 mongodb,24,2025-03-25 08:58:47.350979,Incident
Other,port:27017 mongodb,24,2025-03-25 08:58:47.370568,Incident
Other,Hardcoded threat description 1,23,2025-03-25 08:58:47.384450,Incident
Other,Hardcoded threat description 1,23,2025-03-25 08:58:47.399202,Incident
Other,port:3306 mysql,24,2025-03-25 08:58:47.414752,Incident
Other,port:3306 mysql,24,2025-03-25 08:58:47.428340,Incident
Other,Hardcoded threat description 3,23,2025-03-25 08:58:47.441405,Incident
Other,Hardcoded threat description 3,23,2025-03-25 08:58:47.454988,Incident
Other,http.title:admin login,23,2025-03-25 08:58:47.473491,Incident
Other,http.title:admin login,23,2025-03-25 08:58:47.484291,Incident
Other,port:27017 mongodb,24,2025-03-25 08:58:47.499725,Incident
Other,port:27017 mongodb,24,2025-03-25 08:58:47.525335,Incident
Other,Hardcoded threat description 1,23,2025-03-25 08:58:47.537485,Incident
Other,Hardcoded threat description 1,23,2025-03-25 08:58:47.549088,Incident
Other,port:3306 mysql,24,2025-03-25 08:58:47.560674,Incident
Other,port:3306 mysql,24,2025-03-25 08:58:47.572613,Incident
Other,Hardcoded threat description 3,23,2025-03-25 08:58:47.583901,Incident
Other,Hardcoded threat description 3,23,2025-03-25 08:58:47.595071,Incident
Other,http.title:admin login,23,2025-03-25 08:58:47.626511,Incident
Other,http.title:admin login,23,2025-03-25 08:58:47.645612,Incident
IP,Hardcoded threat description 3,35,2025-03-25 08:58:49.953578,Incident
IP,Hardcoded threat description 1,32,2025-03-25 08:58:52.321239,Incident
IP,Hardcoded threat description 2,31,2025-03-25 08:58:54.659749,Incident
Other,port:27017 mongodb,24,2025-03-25 08:58:57.845933,Incident
Other,http.title:admin login,34,2025-03-25 08:59:01.112049,Incident
